اسم_تجاري_شائع_في_مصر,المادة_الفعالة,الشكل_الصيدلي_الشائع,التصنيف,الاستخدامات_الشائعة,جرعة_بالغين_عامة,أعراض_جانبية_شائعة,تحذيرات_مختصرة,حالة_الصرف,ملاحظة_للبوت,مصادر_للتحقق
Panadol,Paracetamol / Acetaminophen,أقراص / شراب,مسكن وخافض حرارة,الصداع، آلام الجسم، الحمى، آلام الأسنان البسيطة,غالبًا 500-1000 مجم كل 6-8 ساعات عند اللزوم، بحد أقصى 4 جم يوميًا للبالغين,غثيان نادر، حساسية جلدية نادرة,تجنب تجاوز الجرعة؛ الحذر مع أمراض الكبد أو تناول الكحول أو استخدام أدوية أخرى تحتوي على باراسيتامول,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Cetal,Paracetamol,أقراص / شراب / نقط,مسكن وخافض حرارة,الحمى والآلام الخفيفة إلى المتوسطة,للبالغين غالبًا 500-1000 مجم كل 6-8 ساعات عند اللزوم، ولا تتجاوز 4 جم/اليوم,غثيان أو طفح جلدي نادر,لا تجمعه مع أدوية برد تحتوي على باراسيتامول؛ الحذر في أمراض الكبد,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Novaldol,Paracetamol,أقراص,مسكن وخافض حرارة,صداع، ألم عضلي، ارتفاع حرارة,حسب النشرة؛ غالبًا 500-1000 مجم عند اللزوم مع الالتزام بالحد الأقصى اليومي,اضطراب معدة بسيط، حساسية نادرة,ممنوع تجاوز الجرعة اليومية؛ راجع الطبيب في استمرار الحمى,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Brufen,Ibuprofen,أقراص / شراب,مضاد التهاب غير ستيرويدي NSAID,آلام الأسنان، العضلات، الدورة، الالتهابات البسيطة والحمى,غالبًا 200-400 مجم كل 6-8 ساعات بعد الأكل؛ الجرعات العالية بوصفة فقط,حموضة، ألم معدة، غثيان، دوخة,الحذر مع قرحة المعدة، أمراض الكلى، مميعات الدم، الحمل المتأخر، الربو الحساس للأسبرين,بدون وصفة لبعض التركيزات / بوصفة للجرعات العالية,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Advil,Ibuprofen,كبسولات / أقراص,مسكن ومضاد التهاب,الصداع وآلام الجسم والحمى,غالبًا 200-400 مجم كل 6-8 ساعات بعد الأكل عند اللزوم,اضطراب معدة، غثيان، دوخة,تجنب استخدامه مع قرحة المعدة أو مميعات الدم إلا باستشارة؛ لا يفضل في آخر الحمل,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Voltaren,Diclofenac sodium,أقراص / حقن / جل,مضاد التهاب ومسكن NSAID,آلام المفاصل والعضلات والالتهابات,حسب الشكل والتركيز؛ الأقراص والحقن يحددها الطبيب، والجل يستخدم موضعيًا حسب النشرة,حموضة، ألم معدة، دوخة، تهيج جلدي مع الجل,الحذر في قرحة المعدة، ضغط الدم، أمراض القلب والكلى، ومميعات الدم,بوصفة غالبًا للأقراص/الحقن,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Cataflam,Diclofenac potassium,أقراص / نقط / شراب,مسكن ومضاد التهاب NSAID,آلام الأسنان، الدورة، الالتهابات الحادة,حسب الطبيب/النشرة؛ عادة يؤخذ بعد الأكل لتقليل تهيج المعدة,حموضة، غثيان، ألم معدة، دوخة,لا يستخدم مع قرحة نشطة أو حساسية من NSAIDs؛ الحذر مع القلب والكلى,بوصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Profenid,Ketoprofen,كبسولات / أقراص / لبوس,NSAID,آلام المفاصل والعضلات والالتهابات,حسب وصف الطبيب والنشرة، ويفضل بعد الطعام,اضطراب معدة، غثيان، دوخة,الحذر مع قرحة المعدة وأمراض الكلى ومميعات الدم,بوصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Ketolac,Ketorolac,أقراص / حقن,مسكن قوي NSAID,آلام حادة قصيرة المدى بعد العمليات أو الأسنان,يستخدم لفترة قصيرة فقط وبوصفة طبيب,ألم معدة، غثيان، دوخة، احتمال نزيف معدي,لا يستخدم لفترات طويلة؛ الحذر الشديد مع قرحة المعدة والكلى ومميعات الدم,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Mobic,Meloxicam,أقراص / حقن,NSAID,خشونة والتهابات المفاصل والآلام الالتهابية,حسب وصف الطبيب غالبًا مرة يوميًا حسب التركيز,حموضة، غثيان، تورم، دوخة,الحذر مع أمراض القلب والكلى والقرحة والضغط,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Celebrex,Celecoxib,كبسولات,NSAID انتقائي COX-2,التهاب المفاصل وآلام العظام والعضلات,حسب الطبيب؛ غالبًا مرة أو مرتين يوميًا حسب الحالة,عسر هضم، تورم، دوخة,الحذر مع أمراض القلب، الضغط، حساسية السلفا، والكلى,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
